section,title,date,url
Notifications,"Reserve Bank Of India (Credit Information Companies) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12926
Notifications,"Reserve Bank Of India (Asset Reconstruction Companies – Know Your Customer) Directions, 2025 (Updated As On December 29, 2025)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12927
Notifications,"Reserve Bank Of India (Non-Banking Financial Companies – Know Your Customer) Directions, 2025 (Updated As On December 29, 2025)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12943
Notifications,"Reserve Bank Of India (Non-Banking Financial Companies – Financial Statements: Presentation And Disclosures) Directions, 2025 (Updated As On April 1, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12945
Notifications,"Reserve Bank Of India (Non-Banking Financial Companies – Securitisation Transactions) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12951
Notifications,"Reserve Bank Of India (Non-Banking Financial Companies - Transfer And Distribution Of Credit Risk) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12952
Notifications,"Reserve Bank Of India (Non-Banking Financial Companies – Registration, Exemptions And Framework For Scale Based Regulation) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12965
Notifications,"Reserve Bank Of India (All India Financial Institutions – Know Your Customer) Directions, 2025 (Updated As On December 29, 2025)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12969
Notifications,"Reserve Bank Of India (All India Financial Institutions – Financial Statements: Presentation And Disclosures) Directions, 2025 (Updated As On April 1, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12970
Notifications,"Reserve Bank Of India (All India Financial Institutions – Securitisation Transactions) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12976
Notifications,"Reserve Bank Of India (All India Financial Institutions – Transfer And Distribution Of Credit Risk) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12977
Notifications,"Reserve Bank Of India (All India Financial Institutions – Prudential Norms On Capital Adequacy) Directions, 2025 (Updated As On March 10, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12983
Notifications,"Reserve Bank Of India (Rural Co-Operative Banks – Responsible Business Conduct) Directions, 2025 (Updated As On April 1, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12987
Notifications,"Reserve Bank Of India (Rural Co-Operative Banks – Know Your Customer) Directions, 2025 (Updated As On December 29, 2025)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12988
Notifications,"Reserve Bank Of India (Rural Co-Operative Banks – Financial Statements: Presentation And Disclosures) Directions, 2025 (Updated As On April 1, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12990
Notifications,"Reserve Bank Of India (Rural Co-Operative Banks – Transfer And Distribution Of Credit Risk) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=12997
Notifications,"Reserve Bank Of India (Urban Co-Operative Banks – Responsible Business Conduct) Directions, 2025 (Updated As On April 1, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13013
Notifications,"Reserve Bank Of India (Urban Co-Operative Banks – Know Your Customer) Directions, 2025 (Updated As On December 29, 2025)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13014
Notifications,"Reserve Bank Of India (Urban Co-Operative Banks – Financial Statements: Presentation And Disclosures) Directions, 2025 (Updated As On April 1, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13016
Notifications,"Reserve Bank Of India (Urban Co-Operative Banks – Classification, Valuation And Operation Of Investment Portfolio) Directions, 2025 (Updated As On May 18, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13021
Notifications,"Reserve Bank Of India (Urban Co-Operative Banks – Transfer And Distribution Of Credit Risk) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13023
Notifications,"Reserve Bank Of India (Regional Rural Banks – Responsible Business Conduct) Directions, 2025 (Updated As On April 1, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13039
Notifications,"Reserve Bank Of India (Regional Rural Banks – Know Your Customer) Directions, 2025 (Updated As On December 29, 2025)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13040
Notifications,"Reserve Bank Of India (Regional Rural Banks – Financial Statements: Presentation And Disclosures) Directions, 2025 (Updated As On April 1, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13041
Notifications,"Reserve Bank Of India (Regional Rural Banks – Transfer And Distribution Of Credit Risk) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13048
Notifications,"Reserve Bank Of India (Local Area Banks – Responsible Business Conduct) Directions, 2025 (Updated As On April 1, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13063
Notifications,"Reserve Bank Of India (Local Area Banks – Know Your Customer) Directions, 2025 (Updated As On December 29, 2025)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13064
Notifications,"Reserve Bank Of India (Local Area Banks – Financial Statements: Presentation And Disclosures) Directions, 2025 (Updated As On May 18, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13066
Notifications,"Reserve Bank Of India (Local Area Banks – Transfer And Distribution Of Credit Risk) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13073
Notifications,"Reserve Bank Of India (Local Area Banks – Acquisition And Holding Of Shares Or Voting Rights) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13086
Notifications,"Reserve Bank Of India (Payments Banks – Responsible Business Conduct) Directions, 2025 (Updated As On April 1, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13089
Notifications,"Reserve Bank Of India (Payments Banks – Know Your Customer) Directions, 2025 (Updated As On December 29, 2025)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13090
Notifications,"Reserve Bank Of India (Payments Banks – Prudential Norms On Capital Adequacy) Directions, 2025 (Updated As On May 08, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13097
Notifications,"Reserve Bank Of India (Payments Banks – Acquisition And Holding Of Shares Or Voting Rights) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13104
Notifications,"Reserve Bank Of India (Small Finance Banks – Responsible Business Conduct) Directions, 2025 (Updated As On April 1, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13108
Notifications,"Reserve Bank Of India (Small Finance Banks – Know Your Customer) Directions, 2025 (Updated As On December 29, 2025)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13109
Notifications,"Reserve Bank Of India (Small Finance Banks - Financial Statements: Presentation And Disclosures) Directions, 2025 (Updated As On April 1, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13111
Notifications,"Reserve Bank Of India (Small Finance Banks – Asset Liability Management) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13115
Notifications,"Reserve Bank Of India (Small Finance Banks – Securitisation Transactions) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13118
Notifications,"Reserve Bank Of India (Small Finance Banks – Transfer And Distribution Of Credit Risk) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13119
Notifications,"Reserve Bank Of India (Small Finance Banks – Concentration Risk Management) Directions, 2025 (Updated As On January 01, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13120
Notifications,"Reserve Bank Of India (Small Finance Banks – Prudential Norms On Capital Adequacy) Directions, 2025 (Updated As On May 8, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13127
Notifications,"Reserve Bank Of India (Small Finance Banks – Acquisition And Holding Of Shares Or Voting Rights) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13134
Notifications,"Reserve Bank Of India (Small Finance Banks – Licensing) Guidelines, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13135
Notifications,"Reserve Bank Of India (Commercial Banks – Responsible Business Conduct) Directions, 2025 (Updated As On April 1, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13140
Notifications,"Reserve Bank Of India (Commercial Banks – Know Your Customer) Directions, 2025 (Updated As On December 29, 2025)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13141
Notifications,"Reserve Bank Of India (Commercial Banks - Financial Statements: Presentation And Disclosures) Directions, 2025 (Updated As On June 01, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13143
Notifications,"Reserve Bank Of India (Commercial Banks – Asset Liability Management) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13147
Notifications,"Reserve Bank Of India (Commercial Banks – Securitisation Transactions) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13150
Notifications,"Reserve Bank Of India (Commercial Banks - Transfer And Distribution Of Credit Risk) Directions, 2025","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13151
Notifications,"Reserve Bank Of India (Commercial Banks – Concentration Risk Management) Directions, 2025 (Updated As On April 01, 2026)","Nov 28, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13152
