section,title,date,url
Notifications,"Implementation Of Section 51A Of UAPA, 1967: Updates To UNSC’S 1267/ 1989 ISIL (Da'Esh) & Al-Qaida Sanctions List: Removal Of 7 Entries","May 22, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13460
Notifications,Operating Framework For Facilitating Outward Remittance Services By Non-Bank Entities Through Authorized Dealer (Category I) Banks In India,"May 13, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13449
Notifications,"Reserve Bank Of India (Commercial Banks – Responsible Business Conduct) Amendment Directions, 2026","Apr 29, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13410
Notifications,"Reserve Bank Of India (Small Finance Banks – Responsible Business Conduct) Amendment Directions, 2026","Apr 29, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13417
Notifications,"Reserve Bank Of India (Local Area Banks – Responsible Business Conduct) Amendment Directions, 2026","Apr 29, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13420
Notifications,"Reserve Bank Of India (Urban Cooperative Banks – Responsible Business Conduct) Amendment Directions, 2026","Apr 29, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13421
Notifications,"Reserve Bank Of India (Rural Cooperative Banks – Responsible Business Conduct) Amendment Directions, 2026","Apr 29, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13433
Notifications,"Reserve Bank Of India (Regional Rural Banks – Responsible Business Conduct) Amendment Directions, 2026","Apr 29, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13434
Notifications,"Reserve Bank Of India (Non-Banking Financial Companies – Registration, Exemptions And Framework For Scale Based Regulation) Amendment Directions, 2026","Apr 29, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13407
Notifications,"Implementation Of Section 51A Of UAPA, 1967: Updates To UNSC’S 1988 (2011) Taliban Sanctions List: Amendment Of 17 Entries","Apr 29, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13406
Notifications,"Implementation Of Section 51A Of UAPA, 1967: Updates To UNSC’S 1988 (2011) Taliban Sanctions List: Amendment Of 3 Entries","Apr 17, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13372
Notifications,"Implementation Of Section 51A Of UAPA, 1967: Updates To UNSC’S 1988 (2011) Taliban Sanctions List: Amendment Of 04 Entries","Apr 15, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13371
Notifications,"Floating Rate Savings Bonds, 2020 (Taxable) - FRSB 2020 (T) - Operational Guidelines","Apr 02, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13365
Notifications,"Implementation Of Section 51A Of UAPA, 1967: Updates To UNSC’S 1267/ 1989 ISIL (Da'Esh) & Al-Qaida Sanctions List: Listing Of 01 Entry","Apr 01, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13357
Notifications,"Implementation Of Section 51A Of UAPA, 1967: Updates To UNSC’S 1267/ 1989 ISIL (Da'Esh) & Al-Qaida Sanctions List: Listing Of 02 Entries","Mar 27, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13342
Notifications,"Implementation Of Section 51A Of UAPA, 1967: Updates To UNSC’S 1988 (2011) Taliban Sanctions List: Amendment Of 22 Entries: UAPA Update 02 Of 2026","Mar 11, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13332
Notifications,"Implementation Of Section 51A Of UAPA,1967: Updates To UNSC’S 1267/ 1989 ISIL (Da'Esh) & Al-Qaida Sanctions List: Delisting Of 01 Entry","Mar 02, 2026",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13310
Notifications,"Reserve Bank Of India (Commercial Banks – Know Your Customer) Amendment Directions, 2025","Dec 29, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13242
Notifications,"Reserve Bank Of India (Urban Co-Operative Banks – Know Your Customer) Amendment Directions, 2025","Dec 29, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13241
Notifications,"Reserve Bank Of India (Small Finance Banks – Know Your Customer) Amendment Directions, 2025","Dec 29, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13240
Notifications,"Reserve Bank Of India (Rural Co-Operative Banks – Know Your Customer) Amendment Directions, 2025","Dec 29, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13239
Notifications,"Reserve Bank Of India (Regional Rural Banks – Know Your Customer) Amendment Directions, 2025","Dec 29, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13238
Notifications,"Reserve Bank Of India (Payments Banks – Know Your Customer) Amendment Directions, 2025","Dec 29, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13237
Notifications,"Reserve Bank Of India (Non-Banking Financial Companies – Know Your Customer) Amendment Directions, 2025","Dec 29, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13236
Notifications,"Reserve Bank Of India (Local Area Banks – Know Your Customer) Amendment Directions, 2025","Dec 29, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13235
Notifications,"Reserve Bank Of India (Asset Reconstruction Companies – Know Your Customer) Amendment Directions, 2025","Dec 29, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13234
Notifications,"Reserve Bank Of India (All India Financial Institutions – Know Your Customer) Amendment Directions, 2025","Dec 29, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13233
Notifications,"Reserve Bank Of India (Commercial Banks - Responsible Business Conduct) Amendment Directions, 2025","Dec 04, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13173
Notifications,"Reserve Bank Of India (Small Finance Banks - Responsible Business Conduct) Amendment Directions, 2025","Dec 04, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13174
Notifications,"Reserve Bank Of India (Payments Banks - Responsible Business Conduct) Amendment Directions, 2025","Dec 04, 2025",https://rbi.org.in/scripts/NotificationUser.aspx?Mode=0&Id=13175
