section,date,title,url
Rules,"Mar 13, 2026","Securities Contracts (Regulation) Rules, 1957 [Last amended on March 13, 2026]",https://www.sebi.gov.in/legal/rules/mar-2026/securities-contracts-regulation-rules-1957-last-amended-on-march-13-2026-_100665.html
Rules,"Mar 13, 2026","Securities Contracts (Regulation) Amendment Rules, 2026",https://www.sebi.gov.in/legal/rules/mar-2026/securities-contracts-regulation-amendment-rules-2026_100349.html
Rules,"May 19, 2025","Securities Contracts (Regulation) Rules, 1957 [Last amended on May 19, 2025]",https://www.sebi.gov.in/legal/rules/may-2025/securities-contracts-regulation-rules-1957-last-amended-on-may-19-2025-_94058.html
Rules,"May 19, 2025","Securities Contracts (Regulation) Amendment Rules, 2025",https://www.sebi.gov.in/legal/rules/may-2025/securities-contracts-regulation-amendment-rules-2025_94057.html
Regulations,"Apr 18, 2026","Securities and Exchange Board of India (Alternative Investment Funds) Regulations, 2012 [Last amended on April 18, 2026]",https://www.sebi.gov.in/legal/regulations/apr-2026/securities-and-exchange-board-of-india-alternative-investment-funds-regulations-2012-last-amended-on-april-18-2026-_101019.html
Regulations,"Apr 18, 2026","Securities and Exchange Board of India (Real Estate Investment Trusts) Regulations, 2014 [Last amended on April 18, 2026]",https://www.sebi.gov.in/legal/regulations/apr-2026/securities-and-exchange-board-of-india-real-estate-investment-trusts-regulations-2014-last-amended-on-april-18-2026-_101013.html
Regulations,"Apr 18, 2026","Securities and Exchange Board of India (Alternative Investment Funds) (Amendment) Regulations, 2026",https://www.sebi.gov.in/legal/regulations/apr-2026/securities-and-exchange-board-of-india-alternative-investment-funds-amendment-regulations-2026_100989.html
Regulations,"Apr 18, 2026","Securities and Exchange Board of India (Real Estate Investment Trusts) (Amendment) Regulations, 2026",https://www.sebi.gov.in/legal/regulations/apr-2026/securities-and-exchange-board-of-india-real-estate-investment-trusts-amendment-regulations-2026_100971.html
Regulations,"Apr 17, 2026","Securities and Exchange Board of India (Infrastructure Investment Trusts) Regulations, 2014 [Last amended on April 17, 2026]",https://www.sebi.gov.in/legal/regulations/apr-2026/securities-and-exchange-board-of-india-infrastructure-investment-trusts-regulations-2014-last-amended-on-april-17-2026-_101012.html
Regulations,"Apr 17, 2026","Securities and Exchange Board of India (Infrastructure Investment Trusts) (Amendment) Regulations, 2026",https://www.sebi.gov.in/legal/regulations/apr-2026/securities-and-exchange-board-of-india-infrastructure-investment-trusts-amendment-regulations-2026_100970.html
Regulations,"Apr 16, 2026","Securities and Exchange Board of India (Intermediaries) Regulations, 2008 [Last amended on April 16, 2026]",https://www.sebi.gov.in/legal/regulations/apr-2026/securities-and-exchange-board-of-india-intermediaries-regulations-2008-last-amended-on-april-16-2026-_101073.html
Regulations,"Apr 16, 2026","Securities and Exchange Board of India (Intermediaries) (Amendment) Regulations, 2026",https://www.sebi.gov.in/legal/regulations/apr-2026/securities-and-exchange-board-of-india-intermediaries-amendment-regulations-2026_100963.html
Regulations,"Apr 01, 2026","Securities and Exchange Board of India (Mutual Funds) Regulations, 2026",https://www.sebi.gov.in/legal/regulations/apr-2026/securities-and-exchange-board-of-india-mutual-funds-regulations-2026_100744.html
Regulations,"Mar 21, 2026","Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations, 2018 [Last amended on March 21, 2026]",https://www.sebi.gov.in/legal/regulations/mar-2026/securities-and-exchange-board-of-india-issue-of-capital-and-disclosure-requirements-regulations-2018-last-amended-on-march-21-2026-_100581.html
Regulations,"Mar 21, 2026","Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) (Amendment) Regulations, 2026",https://www.sebi.gov.in/legal/regulations/mar-2026/securities-and-exchange-board-of-india-issue-of-capital-and-disclosure-requirements-amendment-regulations-2026_100495.html
Regulations,"Mar 18, 2026","Corrigendum to Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) (Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/mar-2026/corrigendum-to-securities-and-exchange-board-of-india-issue-of-capital-and-disclosure-requirements-amendment-regulations-2025_100500.html
Regulations,"Mar 12, 2026","Corrigendum to the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) (Amendment) Regulations, 2026",https://www.sebi.gov.in/legal/regulations/mar-2026/corrigendum-to-the-securities-and-exchange-board-of-india-listing-obligations-and-disclosure-requirements-amendment-regulations-2026_100374.html
Regulations,"Jan 22, 2026","Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 [Last amended on January 22, 2026]",https://www.sebi.gov.in/legal/regulations/jan-2026/securities-and-exchange-board-of-india-listing-obligations-and-disclosure-requirements-regulations-2015-last-amended-on-january-22-2026-_99375.html
Regulations,"Jan 22, 2026","Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) (Amendment) Regulations, 2026",https://www.sebi.gov.in/legal/regulations/jan-2026/securities-and-exchange-board-of-india-listing-obligations-and-disclosure-requirements-amendment-regulations-2026_99336.html
Regulations,"Jan 21, 2026","Securities and Exchange Board of India (Issue and Listing of Non-Convertible Securities) Regulations 2021 [Amended as on January 21, 2026]",https://www.sebi.gov.in/legal/regulations/jan-2026/securities-and-exchange-board-of-india-issue-and-listing-of-non-convertible-securities-regulations-2021-amended-as-on-january-21-2026-_99288.html
Regulations,"Jan 21, 2026","Securities and Exchange Board of India (Issue and Listing of Non-Convertible Securities) (Amendment) Regulations, 2026",https://www.sebi.gov.in/legal/regulations/jan-2026/securities-and-exchange-board-of-india-issue-and-listing-of-non-convertible-securities-amendment-regulations-2026_99233.html
Regulations,"Jan 15, 2026","Securities and Exchange Board of India (Credit Rating Agencies) Regulations, 1999 [Last amended on January 15, 2026]",https://www.sebi.gov.in/legal/regulations/jan-2026/securities-and-exchange-board-of-india-credit-rating-agencies-regulations-1999-last-amended-on-january-15-2026-_99126.html
Regulations,"Jan 15, 2026","Securities and Exchange Board of India (Credit Rating Agencies) (Amendment) Regulations, 2026",https://www.sebi.gov.in/legal/regulations/jan-2026/securities-and-exchange-board-of-india-credit-rating-agencies-amendment-regulations-2026_99125.html
Regulations,"Jan 08, 2026","Securities and Exchange Board of India (Stock Brokers) Regulations, 2026",https://www.sebi.gov.in/legal/regulations/jan-2026/securities-and-exchange-board-of-india-stock-brokers-regulations-2026_98974.html
